20,9640,14925,408,34039,28600,9210,18501,
30,22376,12191,12042,613,2224,4145,4197,
33,1810,3799,4445,7205,10314,21021,22969,
36,5655,34449,16806,11414,16422,31644,302,
40,1057,2026,2113,3490,4561,4823,5869,
46,2628,4741,4872,8005,9293,10210,10862,
53,7242,10395,14391,19755,20980,5352,19653,
76,28657,2109,27039,21708,25982,33214,29298,
93,13183,
124,261,437,543,1139,1197,2254,2616,
133,19695,21320,31968,4847,10996,18266,26133,
146,2319,3411,5279,6665,9604,19420,30872,
177,35462,28600,15225,3344,3465,6387,10539,
191,1,29,152,221,468,549,775,
198,7763,35276,9052,23311,29976,29086,10440,
211,334,1951,4670,25865,32658,13622,10153,
221,1,29,152,191,468,549,775,
280,4537,7509,14469,17413,17643,19691,21698,
290,14326,31460,9254,11066,8512,25685,7686,
295,976,2567,8899,15946,21665,27404,25711,
302,1068,7219,13110,14389,22593,23089,23090,
308,12943,1617,14329,33095,17946,17110,9283,
314,302,429,1179,1947,4016,4123,6984,
316,5539,2981,30445,31598,14238,25550,24897,
331,5140,13969,16132,18318,26904,32125,33286,
336,32207,35765,13937,11382,2439,33457,124,
341,12807,13088,20546,26902,30239,8194,28437,
344,1182,8194,16157,1183,1759,1964,2513,
373,1264,6069,7926,7927,9692,18652,22326,
406,28600,5370,13458,22882,25957,28213,32121,
408,1934,4209,5254,5783,6141,6172,7315,
415,34303,2842,1443,3035,3758,5824,6332,
427,1299,1373,2142,3407,4605,4699,6981,
430,73,190,1105,5460,7002,7641,8844,
437,261,1139,1197,2254,2616,4579,5005,
468,1,29,152,549,1046,1153,1222,
472,26117,5609,10484,22041,31977,30725,3123,
474,28553,14254,1057,5869,6820,6821,9804,
511,31331,9982,17486,32759,25265,20355,29760,
542,317,3866,4930,7090,7990,9667,10887,
549,1,29,152,1153,1222,1448,1754,
555,3420,30946,81,1169,1743,2487,2541,
577,11776,14413,15133,19233,31317,1115,11543,
579,10984,25404,32032,
609,284,458,466,504,574,763,938,
628,133,3807,3865,4847,6944,7568,8352,
664,8358,9401,11897,21928,28858,32172,34242,
695,2026,2113,2508,3490,3925,4561,5101,
711,211,1832,1951,2483,2733,3672,4670,
713,22744,3866,4930,7090,7990,9293,9667,
721,146,261,543,1275,2319,3683,4889,
727,6674,8602,11645,15127,15672,24557,25941,
740,3788,4622,6142,35927,26286,25694,28138,
766,124,261,437,543,1139,1197,1275,
775,1,29,152,191,221,468,549,
807,12821,28297,14782,33711,21456,14428,27137,
808,6455,18210,20037,21042,1511,8391,9179,
827,2313,7399,8890,10197,10961,13786,15051,
834,24707,35677,11891,14085,
853,5083,11766,19638,22990,33979,18916,21297,
855,25964,4529,21739,22037,22905,30239,32065,
866,408,1934,4209,5254,5783,6141,6172,
885,695,2026,2113,2508,3490,3925,4561,
951,1954,14559,33905,9055,26540,29098,15715,
957,1646,10337,25911,31961,308,6727,1313,
963,2136,2493,6455,18210,20037,21042,1511,
990,8816,20517,9976,24914,25549,28669,27817,
1010,31697,21342,4497,15017,7505,9120,14120,
1011,15890,6070,1899,22499,10839,2577,24987,
1026,25266,740,1617,20877,26893,24897,20713,
1028,26075,16226,27137,
1035,1699,1730,4897,6353,15958,18190,20870,
1043,1241,1372,2333,3881,5291,5309,6905,
1045,27094,
1046,1,29,152,549,1153,1222,1448,
1057,5869,6820,6821,9804,10858,11476,11536,
1089,9474,30518,27200,27839,21422,2371,35312,
1115,11543,14413,15133,19233,577,1927,17535,
1134,34980,25585,34212,23675,4714,22423,36000,
1136,3366,8938,9213,15835,22656,24191,28850,
1178,3523,16942,19814,20106,22229,24082,26592,
1179,11067,11734,23638,27114,13461,33792,17553,
1182,5462,5958,10734,26558,32656,376,3484,
1210,30204,6624,17771,2113,2508,3490,4561,
1216,3065,3837,4339,4845,6577,8132,10681,
1234,17470,23521,24557,25941,26507,6674,8602,
1241,28698,30056,32920,27646,18304,17879,4461,
1246,14049,2235,11320,4714,33095,4516,35438,
1253,2124,3031,3433,3915,4393,6427,7181,
1266,30946,81,1555,2541,3348,3420,3471,
1275,73,190,430,1105,5460,7002,7641,
1278,8935,19678,21777,24193,29284,32308,32620,
1288,23239,5510,22953,32429,21274,19611,11891,
1289,5004,7207,11863,23087,664,1624,11940,
1292,3753,9210,9635,24984,27403,406,808,
1328,284,458,466,504,574,763,938,
1332,3440,25775,24118,33473,18692,29841,13648,
1336,26252,25225,5218,27534,3762,13681,34429,
1353,81,1169,1555,1743,1796,2487,2541,
1355,1832,4419,8035,8292,10841,11621,12245,
1363,846,4137,4226,7424,9059,10622,20579,
1365,19898,8145,1057,5869,6820,6821,9804,
1372,1241,2333,5309,7736,14519,15460,21297,
1401,214,5250,9711,11273,11478,16706,16952,
1411,3127,6915,7598,10162,10794,11981,14877,
1425,15723,21728,27116,13043,8644,17854,23574,
1430,12335,13250,14224,15685,17515,18156,21257,
1441,2092,8783,9898,23363,32295,28142,24356,
1443,6981,15363,1299,1373,2142,3407,4699,
1449,2508,5258,9878,7073,32759,14365,30925,
1456,1603,2121,7974,8358,8928,9401,9878,
1486,8623,30411,191,6265,13419,13829,15083,
1488,2731,4623,16556,4816,1353,11382,19324,
1490,81,1169,1353,1555,1743,1796,2487,
1492,5081,6228,9878,10451,19871,22807,26563,
1505,5106,20713,14085,18674,
1530,2799,11200,
1539,12059,19101,11446,8038,1624,5507,19446,
1540,3284,14305,32233,261,437,1139,1183,
1555,81,1169,1743,2487,2541,3123,3189,
1570,5785,32490,29898,27083,29046,24914,35469,
1610,2621,2493,3653,4663,7495,12057,30600,
1617,29224,4193,1947,711,1832,5126,8292,
