20,9640,
30,22376,
33,1810,
36,5655,
40,1057,
46,2628,
53,7242,
76,28657,
93,13183,
124,261,
133,19695,
146,2319,
177,35462,
191,1,
198,7763,
211,334,
221,1,
280,4537,
290,14326,
295,976,
302,1068,
308,12943,
314,302,
316,5539,
331,5140,
336,32207,
341,12807,
344,1182,
373,1264,
406,28600,
408,1934,
415,34303,
427,1299,
430,73,
437,261,
468,1,
472,26117,
474,28553,
511,31331,
542,317,
549,1,
555,3420,
577,11776,
579,10984,
609,284,
628,133,
664,8358,
695,2026,
711,211,
713,22744,
721,146,
727,6674,
740,3788,
766,124,
775,1,
807,12821,
808,6455,
827,2313,
834,24707,
853,5083,
855,25964,
866,408,
885,695,
951,1954,
957,1646,
963,2136,
990,8816,
1010,31697,
1011,15890,
1026,25266,
1028,26075,
1035,1699,
1043,1241,
1045,27094,
1046,1,
1057,5869,
1089,9474,
1115,11543,
1134,34980,
1136,3366,
1178,3523,
1179,11067,
1182,5462,
1210,30204,
1216,3065,
1234,17470,
1241,28698,
1246,14049,
1253,2124,
1266,30946,
1275,73,
1278,8935,
1288,23239,
1289,5004,
1292,3753,
1328,284,
1332,3440,
1336,26252,
1353,81,
1355,1832,
1363,846,
1365,19898,
1372,1241,
1401,214,
1411,3127,
1425,15723,
1430,12335,
1441,2092,
1443,6981,
1449,2508,
1456,1603,
1486,8623,
1488,2731,
1490,81,
1492,5081,
1505,5106,
1530,2799,
1539,12059,
1540,3284,
1555,81,
1570,5785,
1610,2621,
1617,29224,
1618,4231,
1621,34709,
1624,18116,
1634,437,
1646,3621,
1653,9390,
1684,3647,
1691,1879,
1738,2124,
1763,27560,
1790,18572,
1796,81,
1805,2106,
1817,376,
1871,28258,
1884,695,
1888,2788,
1895,29224,
1899,1011,
1916,18605,
1947,29098,
1950,14689,
2020,52,
2029,18129,
2030,167,
2032,6447,
2106,8051,
2109,7051,
2120,124,
2168,695,
2176,7956,
2205,9022,
2207,418,
2224,4145,
2235,33095,
