20,9640,14925,408,34039,28600,9210,18501,27487,7353,26872,
30,22376,12191,12042,613,2224,4145,4197,9867,12487,7764,
33,1810,3799,4445,7205,10314,21021,22969,28686,4163,2684,
36,5655,34449,16806,11414,16422,31644,302,429,855,1548,
40,1057,2026,2113,3490,4561,4823,5869,6820,6821,9804,
46,2628,4741,4872,8005,9293,10210,10862,12571,14397,16811,
53,7242,10395,14391,19755,20980,5352,19653,35975,10025,2235,
76,28657,2109,27039,21708,25982,33214,29298,10667,474,1057,
93,13183,
124,261,437,543,1139,1197,2254,2616,3683,4579,5005,
133,19695,21320,31968,4847,10996,18266,26133,32112,14411,19372,
146,2319,3411,5279,6665,9604,19420,30872,19778,9772,721,
177,35462,28600,15225,3344,3465,6387,10539,13937,16922,8398,
191,1,29,152,221,468,549,775,1046,1153,1222,
198,7763,35276,9052,23311,29976,29086,10440,18102,16250,4667,
211,334,1951,4670,25865,32658,13622,10153,29168,3586,16294,
221,1,29,152,191,468,549,775,1046,1153,1222,
280,4537,7509,14469,17413,17643,19691,21698,21859,25135,25318,
290,14326,31460,9254,11066,8512,25685,7686,30905,31438,21238,
295,976,2567,8899,15946,21665,27404,25711,7489,30165,7505,
302,1068,7219,13110,14389,22593,23089,23090,25286,26578,28120,
308,12943,1617,14329,33095,17946,17110,9283,30998,13648,13376,
314,302,429,1179,1947,4016,4123,6984,7898,8032,8576,
316,5539,2981,30445,31598,14238,25550,24897,12239,8811,25658,
331,5140,13969,16132,18318,26904,32125,33286,33919,35222,35302,
336,32207,35765,13937,11382,2439,33457,124,16556,29317,8780,
341,12807,13088,20546,26902,30239,8194,28437,211,334,10153,
344,1182,8194,16157,1183,1759,1964,2513,3484,3824,4879,
373,1264,6069,7926,7927,9692,18652,22326,23479,34781,12057,
406,28600,5370,13458,22882,25957,28213,32121,588,2945,3277,
408,1934,4209,5254,5783,6141,6172,7315,9180,9364,10276,
415,34303,2842,1443,3035,3758,5824,6332,6496,11058,12039,
427,1299,1373,2142,3407,4605,4699,6981,7686,7783,8512,
430,73,190,1105,5460,7002,7641,8844,10279,27911,31982,
437,261,1139,1197,2254,2616,4579,5005,5242,5900,6740,
468,1,29,152,549,1046,1153,1222,1448,1754,1813,
472,26117,5609,10484,22041,31977,30725,3123,3192,22064,25521,
474,28553,14254,1057,5869,6820,6821,9804,10858,11443,11476,
511,31331,9982,17486,32759,25265,20355,29760,32677,1449,28904,
542,317,3866,4930,7090,7990,9667,10887,14417,14483,14585,
549,1,29,152,1153,1222,1448,1754,1813,1998,2061,
555,3420,30946,81,1169,1743,2487,2541,3189,3344,3471,
577,11776,14413,15133,19233,31317,1115,11543,1927,17535,15386,
579,10984,25404,32032,
609,284,458,466,504,574,763,938,1152,1328,1737,
628,133,3807,3865,4847,6944,7568,8352,8979,10835,10996,
664,8358,9401,11897,21928,28858,32172,34242,1603,2121,5004,
695,2026,2113,2508,3490,3925,4561,5101,9307,9956,10679,
711,211,1832,1951,2483,2733,3672,4670,8292,11092,13168,
713,22744,3866,4930,7090,7990,9293,9667,10862,14397,14417,
721,146,261,543,1275,2319,3683,4889,6740,7812,8438,
727,6674,8602,11645,15127,15672,24557,25941,26507,32779,1234,
740,3788,4622,6142,35927,26286,25694,28138,15928,20531,34089,
766,124,261,437,543,1139,1197,1275,1634,2120,2254,
775,1,29,152,191,221,468,549,1046,1153,1222,
807,12821,28297,14782,33711,21456,14428,27137,
808,6455,18210,20037,21042,1511,8391,9179,14766,16926,18016,
827,2313,7399,8890,10197,10961,13786,15051,16533,20633,21844,
834,24707,35677,11891,14085,
853,5083,11766,19638,22990,33979,18916,21297,24613,11921,19172,
855,25964,4529,21739,22037,22905,30239,32065,15199,133,14411,
866,408,1934,4209,5254,5783,6141,6172,7315,9180,9364,
885,695,2026,2113,2508,3490,3925,4561,4573,5101,7273,
951,1954,14559,33905,9055,26540,29098,15715,25101,24104,13801,
957,1646,10337,25911,31961,308,6727,1313,2483,2733,3672,
963,2136,2493,6455,18210,20037,21042,1511,3653,4663,7495,
990,8816,20517,9976,24914,25549,28669,27817,
1010,31697,21342,4497,15017,7505,9120,14120,14515,15946,16004,
1011,15890,6070,1899,22499,10839,2577,24987,23647,14139,5534,
1026,25266,740,1617,20877,26893,24897,20713,27909,34565,
1028,26075,16226,27137,
1035,1699,1730,4897,6353,15958,18190,20870,22861,29099,29214,
1043,1241,1372,2333,3881,5291,5309,6905,7736,14519,15460,
1045,27094,
1046,1,29,152,549,1153,1222,1448,1754,1813,1998,
1057,5869,6820,6821,9804,10858,11476,11536,14346,14382,14811,
1089,9474,30518,27200,27839,21422,2371,35312,660,2182,2739,
1115,11543,14413,15133,19233,577,1927,17535,15386,1555,25823,
1134,34980,25585,34212,23675,4714,22423,36000,21274,8701,6511,
1136,3366,8938,9213,15835,22656,24191,28850,12770,3284,3151,
1178,3523,16942,19814,20106,22229,24082,26592,36106,30998,17527,
1179,11067,11734,23638,27114,13461,33792,17553,20428,19446,31991,
1182,5462,5958,10734,26558,32656,376,3484,4879,7410,10067,
1210,30204,6624,17771,2113,2508,3490,4561,19562,25392,25724,
1216,3065,3837,4339,4845,6577,8132,10681,10985,11307,12503,
1234,17470,23521,24557,25941,26507,6674,8602,11645,11686,12249,
1241,28698,30056,32920,27646,18304,17879,4461,34044,17814,23142,
1246,14049,2235,11320,4714,33095,4516,35438,11707,10018,
1253,2124,3031,3433,3915,4393,6427,7181,15292,15650,17241,
1266,30946,81,1555,2541,3348,3420,3471,4816,7183,8396,
1275,73,190,430,1105,5460,7002,7641,8844,10279,27911,
1278,8935,19678,21777,24193,29284,32308,32620,22823,31408,31712,
1288,23239,5510,22953,32429,21274,19611,11891,4112,3367,3543,
1289,5004,7207,11863,23087,664,1624,11940,16072,16235,18116,
1292,3753,9210,9635,24984,27403,406,808,1511,2136,6455,
1328,284,458,466,504,574,763,938,1152,1737,1896,
1332,3440,25775,24118,33473,18692,29841,13648,13492,35469,
1336,26252,25225,5218,27534,3762,13681,34429,12860,22090,16684,
1353,81,1169,1555,1743,1796,2487,2541,3123,3189,3344,
1355,1832,4419,8035,8292,10841,11621,12245,13168,14080,15289,
1363,846,4137,4226,7424,9059,10622,20579,21331,24934,25399,
1365,19898,8145,1057,5869,6820,6821,9804,10858,11443,11476,
1372,1241,2333,5309,7736,14519,15460,21297,22393,27957,28358,
1401,214,5250,9711,11273,11478,16706,16952,18436,18459,19666,
1411,3127,6915,7598,10162,10794,11981,14877,19965,20619,23756,
1425,15723,21728,27116,13043,8644,17854,23574,5670,5285,5309,
1430,12335,13250,14224,15685,17515,18156,21257,22094,24709,24879,
1441,2092,8783,9898,23363,32295,28142,24356,31305,35276,2816,
1443,6981,15363,1299,1373,2142,3407,4699,7783,11081,17907,
1449,2508,5258,9878,7073,32759,14365,30925,34519,18850,24799,
1456,1603,2121,7974,8358,8928,9401,9878,10451,11497,11897,
1486,8623,30411,191,6265,13419,13829,15083,15092,22331,24284,
1488,2731,4623,16556,4816,1353,11382,19324,21952,30690,14674,
1490,81,1169,1353,1555,1743,1796,2487,2541,3123,3189,
1492,5081,6228,9878,10451,19871,22807,26563,33264,6095,12714,
1505,5106,20713,14085,18674,
1530,2799,11200,
